,reaction,ATP,NADH,Fdred,CO2,Pyruvate,Acetyl-CoA,N2,NH3,H2,Glutamate,Glutamine,D-Glyceraldehyde 3-phosphate,Glycerone phosphate,"beta-D-Fructose 1,6-bisphosphate",beta-D-Fructose 6-phosphate,Orthophosphate,Phosphoenolpyruvate,D-Erythrose 4-phosphate ,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate, 3-Dehydroquinate,3-Dehydroshikimate,Shikimate ,Shikimate 3-phosphate,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,Chorismate,Anthranilate ,D-Ribulose 5-phosphate,D-Ribose 5-phosphate,2-Dehydro-3-deoxy-6-phospho-D-gluconate,6-Phospho-D-gluconate,5-Phospho-alpha-D-ribose 1-diphosphate,N-(5-Phospho-D-ribosyl)anthranilate,Diphosphate,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,Indoleglycerol phosphate,D-Serine,L-Serine,Tryptophan,EC Number,Reference,Notes
,,Input,Input,Input,Input/Output,Intermediate,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Target,,,
12,"beta-D-Fructose 1,6-bisphosphate + H2O <=> beta-D-Fructose 6-phosphate + Orthophosphate",,,,,,,,,,,,,,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,3.1.3.11,,
13,ATP + Pyruvate <=>Phosphoenolpyruvate + Orthophosphate,-1,,,,-1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2.7.9.2,,
14,beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate ,,,,,,,,,,,,-1,,,-1,,,1,,,,,,,,,,,,,,,,,,,,,2.2.1.1,,
15,Phosphoenolpyruvate + D-Erythrose 4-phosphate <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate,,,,,,,,,,,,,,,,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,2.5.1.54,,
16,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate <=> 3-Dehydroquinate + Orthophosphate,,,,,,,,,,,,,,,,1,,,-1,1,,,,,,,,,,,,,,,,,,,4.2.3.4,,
17,3-Dehydroquinate <=> 3-Dehydroshikimate,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,,4.2.1.10,,
18,3-Dehydroshikimate + NADH <=> Shikimate ,,-1,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,,1.1.1.25,,
19,ATP + Shikimate <=> Shikimate 3-phosphate,-1,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,,,,2.7.1.71,,
20,Phosphoenolpyruvate + Shikimate 3-phosphate <=> Orthophosphate + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate,,,,,,,,,,,,,,,,1,-1,,,,,,-1,1,,,,,,,,,,,,,,,2.5.1.19,,
21,5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate,,,,,,,,,,,,,,,,1,,,,,,,,-1,1,,,,,,,,,,,,,,4.3.2.5,,
22,Chorismate + L-Glutamine <=> Anthranilate + Pyruvate + L-Glutamate,,,,,1,,,,,1,-1,,,,,,,,,,,,,,-1,1,,,,,,,,,,,,,4.1.3.27,,
26,D-Glyceraldehyde 3-phosphate + Pyruvate <=> 2-Dehydro-3-deoxy-6-phospho-D-gluconate,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,1,,,,,,,,,,4.1.2.14,,
27,2-Dehydro-3-deoxy-6-phospho-D-gluconate  <=> + H2O + 6-Phospho-D-gluconate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,4.2.1.12,,
28,6-Phospho-D-gluconate <=> D-Ribulose 5-phosphate + CO2 + NADH ,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,-1,,,,,,,,,1.1.1.343,,
29,D-Ribulose 5-phosphate <=> D-Ribose 5-phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,,,,,,,,5.3.1.6,,
30,ATP + D-Ribose 5-phosphate <=> 5-Phospho-alpha-D-ribose 1-diphosphate,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,1,,,,,,,,2.7.6.1,,
31,Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate  <=>  N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,1,1,,,,,,2.4.2.18,,
32,N-(5-Phospho-D-ribosyl)anthranilate <=> 1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,1,,,,,5.3.1.24,,
33,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate <=> Indoleglycerol phosphate + CO2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,,4.1.1.48,,
34,L-Serine + Indoleglycerol phosphate <=> L-Tryptophan + D-Glyceraldehyde 3-phosphate,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,-1,,-1,1,4.2.1.20,,
